player_id,player_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,rush_attempts,rush_yards,rush_tds,fumbles,rushing_fumbles_lost,rush_first_downs,rush_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr,player_name_norm,name_key,yards_per_carry,games_missed
00-0020608,David Carr,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/raoec7zczzr8ooz0vutw",2012,REG,NYG,2,2,3,19,0,0,1,-6,1,0,10,17,1,-0.8787381140864454,4.207754135131836,0,1.9,3,-3,0,0,0,0,-2.4265009258524515,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.45999999999999996,0.45999999999999996,david carr,d.carr,-1.0,14
00-0020679,Shaun Hill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dn42ccbwrshm7uksyphy",2012,REG,DET,1,10,13,172,2,0,0,0,0,0,141,47,8,13.742976711306255,25.014503051837284,0,1.2198581560283688,1,-1,0,0,0,0,-3.3240085039287806,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,14.78,14.78,shaun hill,s.hill,-1.0,15
00-0021429,Carson Palmer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/belgna3tokxga0gjjmwk",2012,REG,LV,15,345,565,4018,22,14,26,-199,5,4,4712,1959,185,18.070176471452513,-0.42718708515167236,2,0.8527164685908319,18,36,1,2,1,10,-5.076692697946857,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,26,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,224.32,224.32,carson palmer,c.palmer,2.0,1
00-0021678,Tony Romo,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdgaxf7djip2ovlkeqjk",2012,REG,DAL,16,425,648,4903,28,19,36,-263,3,3,5715,1952,231,83.81777806119433,2.7151753939688206,1,0.857917760279965,30,49,1,3,0,8,-4.881405489956513,1,1,1,-1,0,0,0,-4,3,0,-0.6501542935147882,0,0.0,0.0015384615384615385,-0.0006918021445866483,0.0018234308064816536,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,35,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,278.92,279.92,tony romo,t.romo,1.6333333333333333,0
00-0021999,Nate Burleson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uetfdfntsvqax8ntyato",2012,REG,DET,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,8,48,0,0,0,2,1.2235052327159792,0,27,43,240,2,0,0,320,83,14,12.941788403383331,1,0.75,0.0589041095890411,0.04955094456488077,0.12304182557897818,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,42.8,69.8,nate burleson,n.burleson,6.0,10
00-0022084,Anquan Boldin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ajabgwxbliupgkwjbnut",2012,REG,BAL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,3,0,0,0,0,-0.15732251899316907,0,65,112,921,4,0,0,1206,237,45,21.714355805425253,1,0.763681592039801,0.2014388489208633,0.21935249181520552,0.4557050176519388,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,95,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,118.4,183.4,anquan boldin,a.boldin,3.0,1
00-0022177,Byron Leftwich,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zmv2cxypb5s0nhtpq3nq",2012,REG,PIT,2,25,53,272,0,1,3,-24,0,0,541,115,13,-4.410142474435905,-12.901648879051208,0,0.5027726432532348,1,31,1,0,0,1,3.0759031451307237,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,17.98,17.98,byron leftwich,b.leftwich,31.0,14
00-0022178,Willis McGahee,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nlr34yjuurydinlwlt0z",2012,REG,DEN,10,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,167,731,4,5,4,44,-10.622282373154897,0,26,33,221,0,0,0,-30,234,10,7.891502513061903,1,-7.366666666666666,0.05650684931506849,-0.006141248720573183,0.0804613998682015,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,15,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,113.2,139.2,willis mcgahee,w.mcgahee,4.377245508982036,6
00-0022217,Mewelde Moore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aqabtnjtucqtwb99mb3o",2012,REG,IND,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,13,20,0,1,1,1,-10.204679869755637,0,6,8,77,1,0,0,61,44,4,4.985187217455084,0,1.2622950819672132,0.012944983818770227,0.009556634811217296,0.02610712009600745,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,3,50,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,13.700000000000001,19.700000000000003,mewelde moore,m.moore,1.5384615384615385,7
00-0022388,Terrance Copper,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/favudbaummnv3ra1rbhy",2012,REG,KC,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,1,0,0,0,0,-0.6160190117079765,0,8,12,79,0,0,0,127,16,3,-0.37671398376034215,0,0.6220472440944882,0.02575107296137339,0.03240622607808114,0.061310967696716887,0,4,0,1,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,8.0,16.0,terrance copper,t.copper,1.0,7
00-0022397,Vonta Leach,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n9zjncpra3ifhujp6fum",2012,REG,BAL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,9,32,1,0,0,3,2.237421351019293,0,21,24,143,0,0,0,11,130,7,3.01236744018388,0,13.0,0.04316546762589928,0.002000727537286286,0.06614871071494932,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,23.5,44.5,vonta leach,v.leach,3.5555555555555554,2
